"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"nloptr","nloptr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.0.3",NA,NA,NA,"testthat","knitr, rmarkdown, xml2, testthat (>= 3.0.0), covr",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.2.3"
"NLP","NLP","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.2-1",NA,"R (>= 3.2.0)","utils",NA,NA,"udpipe, spacyr, cleanNLP","GPL-3",NA,NA,NA,NA,"no","4.2.0"
"nnet","nnet","C:/Users/Carolina/AppData/Local/R/win-library/4.2","7.3-18","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"norm","norm","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0-10.0",NA,NA,"stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"nortest","nortest","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0-4",NA,NA,"stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"numDeriv","numDeriv","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"ODataQuery","ODataQuery","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.5.3",NA,NA,"R6, httr, jsonlite, rlang",NA,"knitr, rmarkdown, tinytest, utils",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"odbc","odbc","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.3.4",NA,"R (>= 3.2.0)","bit64, blob (>= 1.2.0), DBI (>= 1.0.0), hms, methods, Rcpp (>=
0.12.11), rlang (>= 0.2.0)","Rcpp","covr, DBItest, magrittr, RSQLite, testthat, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"officer","officer","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.6.2",NA,NA,"grDevices, stats, graphics, utils, zip (>= 2.1.0), xml2 (>=
1.1.0), openssl, R6, uuid, ragg",NA,"testthat, devEMF, ggplot2, rmarkdown, doconv (>= 0.3.0),
knitr, rsvg, magick",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"olsrr","olsrr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.5.3",NA,"R(>= 3.3)","car, data.table, ggplot2, goftest, graphics, gridExtra,
nortest, Rcpp, stats, utils","Rcpp","covr, descriptr, knitr, rmarkdown, testthat, vdiffr, xplorerr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"openssl","openssl","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.0.6",NA,NA,"askpass",NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"openxlsx","openxlsx","C:/Users/Carolina/AppData/Local/R/win-library/4.2","4.2.5.2",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, stringi, utils, zip","Rcpp","knitr, rmarkdown, roxygen2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"packcircles","packcircles","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.3.5",NA,"R (>= 3.2)","Rcpp (>= 1.0.0)","Rcpp (>= 1.0.0)","ggiraph (>= 0.8.4), ggplot2, knitr, rmarkdown, lpSolve",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"pacman","pacman","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.5.1",NA,"R (>= 3.5.0)","remotes, methods, stats, utils",NA,"BiocManager, knitr, lattice, testthat (>= 0.9.0), XML",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"pander","pander","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.6.5",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","Rcpp","grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en, logger,
survival, microbenchmark, zoo, nlme, descr, MASS, knitr,
rmarkdown, tables, reshape, memisc, Epi, randomForest, tseries,
gtable, rms, forecast, data.table",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"parallelly","parallelly","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.35.0",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.3"
"parallelMap","parallelMap","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.5.1",NA,"R (>= 3.0.0)","BBmisc (>= 1.8), checkmate (>= 1.8.0), parallel, stats, utils",NA,"BatchJobs (>= 1.8), batchtools (>= 0.9.6), data.table, Rmpi,
rpart, snow, testthat",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"ParamHelpers","ParamHelpers","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.14.1",NA,NA,"backports, BBmisc (>= 1.10), checkmate (>= 1.8.2), fastmatch,
methods",NA,"interp, covr, eaf, emoa, GGally, ggplot2, grid, gridExtra,
irace (>= 2.1), lhs, plyr, reshape2, testthat",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"parsedate","parsedate","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.3.1",NA,NA,NA,NA,"covr, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"parsnip","parsnip","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.4",NA,"R (>= 2.10)","cli, dplyr (>= 0.8.0.1), generics (>= 0.1.2), ggplot2,
globals, glue, hardhat (>= 1.1.0), lifecycle, magrittr, pillar,
prettyunits, purrr, rlang (>= 0.3.1), stats, tibble (>= 2.1.1),
tidyr (>= 1.0.0), utils, vctrs (>= 0.4.1), withr",NA,"C50, covr, dials (>= 1.1.0), earth, ggrepel, keras, kernlab,
kknn, knitr, LiblineaR, MASS, Matrix, mgcv, modeldata, nlme,
prodlim, ranger (>= 0.12.0), remotes, rmarkdown, rpart,
sparklyr (>= 1.0.0), survival, tensorflow, testthat (>= 3.0.0),
xgboost (>= 1.5.0.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"patchwork","patchwork","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.1.2",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"pbdZMQ","pbdZMQ","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.3-9",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"pbivnorm","pbivnorm","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.6.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"pbkrtest","pbkrtest","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.5.2",NA,"R (>= 4.1.0), lme4 (>= 1.1.31)","broom, dplyr, MASS, Matrix (>= 1.2.3), methods, numDeriv,
parallel",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"pbv","pbv","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.4-22",NA,"R (>= 3.1)","Rcpp","Rcpp, RcppArmadillo","pbivnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"pdftools","pdftools","C:/Users/Carolina/AppData/Local/R/win-library/4.2","3.3.3",NA,NA,"Rcpp (>= 0.12.12), qpdf","Rcpp","png, webp, tesseract, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"pdp","pdp","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.8.1",NA,"R (>= 3.6.0)","foreach, ggplot2 (>= 3.0.0), grDevices, lattice, methods,
rlang (>= 0.3.0), stats, utils",NA,"adabag, AmesHousing, C50, caret, covr, Cubist, doParallel,
dplyr, e1071, earth, gbm, gridExtra, ICEbox, ipred, keras,
kernlab, magrittr, MASS, Matrix, mda, mlbench, nnet, party,
partykit, randomForest, ranger, reticulate, rpart, tinytest,
xgboost (>= 0.6-0), knitr, rmarkdown, vip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"performance","performance","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.10.3",NA,"R (>= 3.6)","bayestestR (>= 0.13.0), insight (>= 0.19.1), datawizard (>=
0.7.0), methods, stats, utils",NA,"AER, afex, BayesFactor, bayesplot, betareg, bigutilsr,
blavaan, boot, brms, car, CompQuadForm, correlation, cplm,
dbscan, estimatr, fixest, forecast, gamm4, ggplot2, glmmTMB,
graphics, Hmisc, httr, ICS, ICSOutlier, ISLR, ivreg, lavaan,
lme4, lmtest, loo, MASS, Matrix, mclogit, mclust, metadat,
metafor, mgcv, mlogit, multimode, nlme, nonnest2, ordinal,
parallel, parameters (>= 0.20.3), patchwork, pscl, psych,
randomForest, rmarkdown, rstanarm, rstantools, sandwich, see
(>= 0.7.5), survey, survival, testthat, tweedie, VGAM, withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"PerformanceAnalytics","PerformanceAnalytics","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.0.4",NA,"R (>= 3.5.0), xts (>= 0.10.0)","methods, quadprog, zoo",NA,"dygraphs, Hmisc, MASS, quantmod, gamlss, gamlss.dist,
robustbase, quantreg, tinytest, ggplot2, RColorBrewer,
googleVis, plotly, gridExtra, ggpubr, RPESE, R.rsp, RobStatTM",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"phosphoricons","phosphoricons","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1.2",NA,"R (>= 2.10)","htmltools (>= 0.3)",NA,"covr, shiny, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"piggyback","piggyback","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1.4",NA,NA,"cli, glue, gh, httr, jsonlite, fs, lubridate, memoise",NA,"spelling, readr, covr, testthat, knitr, rmarkdown, gert,
withr, magrittr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"pillar","pillar","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.9.0",NA,NA,"cli (>= 2.3.0), fansi, glue, lifecycle, rlang (>= 1.0.2), utf8
(>= 1.1.0), utils, vctrs (>= 0.5.0)",NA,"bit64, DBI, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"pkgbuild","pkgbuild","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.4.0",NA,"R (>= 3.4)","callr (>= 3.2.0), cli (>= 3.4.0), crayon, desc, prettyunits,
processx, R6, rprojroot, withr (>= 2.3.0)",NA,"covr, cpp11, knitr, mockery, Rcpp, rmarkdown, testthat (>=
3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"pkgconfig","pkgconfig","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"pkgdown","pkgdown","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.0.7",NA,"R (>= 3.1.0)","bslib (>= 0.3.1), callr (>= 3.7.3), cli, desc, digest, downlit
(>= 0.4.0), fs (>= 1.4.0), httr (>= 1.4.2), jsonlite, magrittr,
memoise, purrr, ragg, rlang (>= 1.0.0), rmarkdown (>=
1.1.9007), tibble, whisker, withr (>= 2.4.3), xml2 (>= 1.3.1),
yaml",NA,"covr, diffviewer, evaluate, htmltools, htmlwidgets, knitr,
lifecycle, methods, openssl, pkgload (>= 1.0.2), rsconnect,
rstudioapi, rticles, sass, testthat (>= 3.1.3), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"pkgload","pkgload","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.3.2",NA,"R (>= 3.4.0)","cli (>= 3.3.0), crayon, desc, fs, glue, methods, rlang (>=
1.0.3), rprojroot, utils, withr (>= 2.4.3)",NA,"bitops, covr, mathjaxr, mockr, pak, pkgbuild, Rcpp, remotes,
rstudioapi, testthat (>= 3.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"pkgsearch","pkgsearch","C:/Users/Carolina/AppData/Local/R/win-library/4.2","3.1.2",NA,NA,"curl, jsonlite, parsedate (>= 1.3.0), prettyunits",NA,"mockery, covr, memoise, pillar, pingr (>= 2.0.0), rstudioapi,
shiny, shinyjs, shinyWidgets, testthat (>= 2.1.0), whoami",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"plogr","plogr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"plotly","plotly","C:/Users/Carolina/AppData/Local/R/win-library/4.2","4.10.1",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, ggalluvial, testthat,
knitr, devtools, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl,
rmarkdown, Cairo, broom, webshot, listviewer, dendextend,
maptools, rgeos, sf, png, IRdisplay, processx, plotlyGeoAssets,
forcats, palmerpenguins, rversions, reticulate, rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"plotwidgets","plotwidgets","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.5.1",NA,NA,"methods,graphics",NA,"testthat,knitr",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.2.3"
"pls","pls","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.8-1",NA,"R (>= 3.5.0)","grDevices, graphics, methods, stats",NA,"MASS, parallel, Rmpi, testthat, RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"plumber","plumber","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.2.1",NA,"R (>= 3.0.0)","R6 (>= 2.0.0), stringi (>= 0.3.0), jsonlite (>= 0.9.16),
webutils (>= 1.1), httpuv (>= 1.5.5), crayon, promises (>=
1.1.0), sodium, swagger (>= 3.33.0), magrittr, mime, lifecycle
(>= 0.2.0), ellipsis (>= 0.3.0), rlang",NA,"testthat (>= 0.11.0), rmarkdown, base64enc, htmlwidgets,
visNetwork, later, readr, yaml, arrow, future, coro,
rstudioapi, spelling, mockery (>= 0.4.2), geojsonsf, redoc,
rapidoc, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"plyr","plyr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.8.8",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"png","png","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"polite","polite","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1.2",NA,NA,"httr, magrittr, memoise, ratelimitr, robotstxt, rvest, stats,
usethis",NA,"dplyr, testthat, covr, webmockr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"polspline","polspline","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.1.22",NA,NA,"stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"polyclip","polyclip","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.10-4",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.2.1"
"polynom","polynom","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.4-1",NA,NA,"stats, graphics",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"poorman","poorman","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.2.6",NA,"R (>= 3.3)",NA,NA,"knitr, pkgdown, markdown, rmarkdown, roxygen2, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"pps","pps","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"PracTools","PracTools","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.3",NA,"R (>= 3.5.0)","dplyr, geosphere, ggplot2, graphics, usmap",NA,"doBy, foreign, lpSolve, markdown, plyr, pps, Rcpp, reshape,
roxygen2, sampling, samplingbook, sp, survey, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"praise","praise","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"prettydoc","prettydoc","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.4.1",NA,NA,"rmarkdown (>= 1.17)",NA,"knitr, KernSmooth",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.2.3"
"prettyunits","prettyunits","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"printr","printr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.3",NA,NA,"knitr (>= 1.31)",NA,"tools, rmarkdown",NA,"GPL",NA,NA,NA,NA,"no","4.2.3"
"prismatic","prismatic","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.1.1",NA,"R (>= 3.2)","graphics, farver (>= 2.0.1), grDevices",NA,"covr, crayon, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"pROC","pROC","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.18.0",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.3"
"processx","processx","C:/Users/Carolina/AppData/Local/R/win-library/4.2","3.8.0",NA,"R (>= 3.4.0)","ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.7.0), cli (>= 3.3.0), codetools, covr, curl,
debugme, parallel, rlang (>= 1.0.2), testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"prodlim","prodlim","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2023.03.31",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, data.table, grDevices, graphics,
diagram, survival, KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"profvis","profvis","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.3.7",NA,"R (>= 3.0)","htmlwidgets (>= 0.3.2), stringr",NA,"knitr, ggplot2, rmarkdown, testthat, devtools, shiny,
htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"progress","progress","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"progressr","progressr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.13.0",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, cli, crayon, pbmcapply, progress,
purrr, foreach, plyr, doFuture, future, future.apply, furrr,
RPushbullet, rstudioapi, shiny, commonmark, base64enc, tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
"proj4","proj4","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0-12",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.2"
"promises","promises","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.2.0.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future (>= 1.21.0), fastmap (>= 1.1.0), purrr,
knitr, rmarkdown, vembedr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"proto","proto","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.0",NA,NA,NA,NA,"testthat, covr",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"protolite","protolite","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.2.0",NA,NA,"Rcpp (>= 0.12.12), jsonlite","Rcpp","spelling, curl, testthat, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"proxy","proxy","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.4-27",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"ps","ps","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.7.3",NA,"R (>= 3.4)","utils",NA,"callr, covr, curl, pillar, pingr, processx (>= 3.1.0), R6,
rlang, testthat (>= 3.0.0),",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"pscl","pscl","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.5.5",NA,NA,"MASS, datasets, grDevices, graphics, stats, utils",NA,"lattice, MCMCpack, car, lmtest, sandwich, zoo, coda, vcd,
mvtnorm, mgcv",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"psych","psych","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.3.3",NA,NA,"mnormt,parallel,stats,graphics,grDevices,methods,lattice,nlme",NA,"psychTools, GPArotation, lavaan, lme4, Rcsdp, graph, knitr,
Rgraphviz",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"purrr","purrr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.1",NA,"R (>= 3.4.0)","cli (>= 3.4.0), lifecycle (>= 1.0.3), magrittr (>= 1.5.0),
rlang (>= 0.4.10), vctrs (>= 0.5.0)","cli","covr, dplyr (>= 0.7.8), httr, knitr, lubridate, rmarkdown,
testthat (>= 3.0.0), tibble, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"pwr","pwr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.3-0",NA,NA,"stats, graphics",NA,"ggplot2, scales, knitr, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
"pzfx","pzfx","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.3.0",NA,NA,"xml2 (>= 1.2.0)",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"qap","qap","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1-2",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"qdapDictionaries","qdapDictionaries","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.7",NA,"R (>= 3.0.0)","methods, utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"qdapRegex","qdapRegex","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.7.5",NA,"R (>= 3.5.0)","stringi (>= 0.5-5)",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"qpdf","qpdf","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.3.2",NA,NA,"Rcpp, askpass, curl","Rcpp","testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.2.3"
"quadprog","quadprog","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.5-8",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"quanteda","quanteda","C:/Users/Carolina/AppData/Local/R/win-library/4.2","3.3.0",NA,"R (>= 3.5.0), methods","fastmatch, jsonlite, magrittr, Matrix (>= 1.5-0), Rcpp (>=
0.12.12), RcppParallel, SnowballC, stopwords, stringi, xml2,
yaml","Rcpp, RcppParallel, RcppArmadillo (>= 0.7.600.1.0)","rmarkdown, spelling, testthat, formatR, tm (>= 0.6),
tokenizers, knitr, lda, lsa, dplyr, purrr, quanteda.textmodels,
quanteda.textstats, quanteda.textplots, RColorBrewer, slam,
spacyr, stm, text2vec, topicmodels, tibble, tidytext, xtable,
ggplot2",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"quanteda.textplots","quanteda.textplots","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.94.3",NA,NA,"quanteda, extrafont, ggplot2, ggrepel, grid, sna, igraph,
Matrix, methods, network, RColorBrewer, Rcpp (>= 0.12.12),
stringi","Rcpp","knitr, quanteda.textmodels, quanteda.textstats, rmarkdown,
spelling, testthat, wordcloud",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"quantmod","quantmod","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.4.22",NA,"R (>= 3.2.0), xts(>= 0.9-0), zoo, TTR(>= 0.2), methods","curl, jsonlite(>= 1.1)",NA,"DBI,RMySQL,RSQLite,timeSeries,xml2,downloader",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"quantreg","quantreg","C:/Users/Carolina/AppData/Local/R/win-library/4.2","5.95",NA,"R (>= 3.5), stats, SparseM","methods, graphics, Matrix, MatrixModels, survival, MASS",NA,"interp, rgl, logspline, nor1mix, Formula, zoo, R.rsp, conquer",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"questionr","questionr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.7.8",NA,"R (>= 3.5.0)","shiny (>= 1.0.5), miniUI, rstudioapi, highr, styler, classInt,
htmltools, graphics, stats, utils, rlang, labelled (>= 2.6.0)",NA,"testthat, roxygen2, dplyr, ggplot2, tidyr, janitor, forcats,
knitr, rmarkdown, survey, Hmisc",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"R.cache","R.cache","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.16.0",NA,"R (>= 2.14.0)","utils, R.methodsS3 (>= 1.8.1), R.oo (>= 1.24.0), R.utils (>=
2.10.1), digest (>= 0.6.13)",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.3"
